# stan_version_major = 2
# stan_version_minor = 9
# stan_version_patch = 0
# model = bernoulli_model
# method = sample (Default)
#   sample
#     num_samples = 1200
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 1
# id = 4
# data
#   file = bernoulli_4.data.R
# init = 2 (Default)
# random
#   seed = 1207203908
# output
#   file = bernoulli_samples_4.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,n_divergent__,theta
# Adaptation terminated
# Step size = 1.1195
# Diagonal elements of inverse mass matrix:
# 0.450186
-7.69249,0.906747,1.1195,2,3,0,0.379095
-7.78952,0.9616,1.1195,1,1,0,0.410541
-7.63832,0.812071,1.1195,2,3,0,0.331002
-8.11922,0.869397,1.1195,2,3,0,0.473021
-7.64766,0.653212,1.1195,2,3,0,0.31477
-7.83181,0.82332,1.1195,2,3,0,0.420929
-9.70233,0.457229,1.1195,1,1,0,0.623365
-8.10398,0.976699,1.1195,2,3,0,0.212778
-7.76274,1,1.1195,1,1,0,0.268033
-7.86364,0.987951,1.1195,2,3,0,0.42804
-7.91414,0.993078,1.1195,2,3,0,0.438386
-7.74316,1,1.1195,1,1,0,0.397367
-8.33238,0.782904,1.1195,1,1,0,0.501817
-8.33238,0.779065,1.1195,1,1,0,0.501817
-7.70054,1,1.1195,1,1,0,0.382431
-8.45035,0.733686,1.1195,1,1,0,0.515817
-8.45035,0.318531,1.1195,1,1,0,0.515817
-7.92803,0.734313,1.1195,2,3,0,0.23618
-7.71091,0.966488,1.1195,2,3,0,0.282918
-8.14313,0.734218,1.1195,2,3,0,0.476533
-7.81881,1,1.1195,2,3,0,0.417865
-8.6778,0.697477,1.1195,1,1,0,0.540082
-8.19164,1,1.1195,2,3,0,0.203183
-9.45791,0.739135,1.1195,1,1,0,0.121911
-9.0394,1,1.1195,2,3,0,0.141657
-8.36257,1,1.1195,1,1,0,0.187018
-8.64553,0.932701,1.1195,1,1,0,0.165294
-7.94517,1,1.1195,1,1,0,0.233573
-8.47017,0.925226,1.1195,2,3,0,0.518063
-7.78577,1,1.1195,1,1,0,0.409555
-7.78577,0.521146,1.1195,2,3,0,0.409555
-7.66166,0.575778,1.1195,2,3,0,0.304302
-8.05447,0.806941,1.1195,2,3,0,0.463048
-7.82375,1,1.1195,2,3,0,0.254434
-7.80463,1,1.1195,1,1,0,0.258383
-7.80463,0.514173,1.1195,2,3,0,0.258383
-7.67424,1,1.1195,2,3,0,0.297502
-7.93465,0.927092,1.1195,2,3,0,0.44232
-8.13154,0.978302,1.1195,2,3,0,0.209645
